delivery_id,distance_km,package_weight_kg,delivery_type,vehicle_type,traffic_condition,weather,time_of_day,day_of_week,driver_experience_years,num_stops,is_priority,package_fragile,delivery_zone,customer_rating,fuel_cost,delivery_time_hours
DEL00331,17.62,12.45,Express,Carro,Médio,  Ensolarado ,  Tarde ,domingo,5,8,No,No,Urbana,3.75,5.41,22.59
DEL02382,11.43,3.31,Economy,Carro,Médio,Ensolarado,Manhã,Seg-Qui,8,2,No,Yes,Urbana,3.68,5.73,19.18
DEL00825,25.87,2.79,Express,Carro,Baixo,Ensolarado,Manhã,Seg-Qui,,1,No,Yes,Urbana,2.98,6.13,3.92
DEL00336,14.21,6.99,Standard,Caminhão,Médio,Chuva Forte,Tarde,Domingo,7,1,Yes,Yes,Suburbana,2.1,5.34,24.66
DEL00551,14.31,,Standard,Van,Alto,Nublado,Manhã,Sábado,1,1,No,Yes,Urbana,3.31,6.57,23.05
DEL00543,13.37,1.46,Economy,Van,Alto,Ensolarado,Tarde,Seg-Qui,10,3,No,No,Urbana,2.83,4.0,27.33
DEL00766,18.77,8.68,Standard,Carro,Baixo,Nublado,Manhã,Sábado,5,1,No,No,Urbana,2.42,5.48,18.06
DEL00991,32.21,4.88,Express,Moto,Alto,Ensolarado,Manhã,Sábado,3,2,No,No,Suburbana,2.7,6.46,15.17
DEL00515,31.29,6.51,Standard,Moto,Congestionado,Nublado,Tarde,Seg-Qui,3,1,No,No,Urbana,2.86,5.94,29.09
DEL00849,24.51,2.79,Economy,Carro,Médio,Ensolarado,Manhã,Sexta,3,6,No,No,Rural,2.72,4.67,34.29
DEL02486,11.01,8.75,Standard,Van,Congestionado,Ensolarado,Tarde,Sábado,4,2,No,No,Rural,3.31,6.23,35.16
DEL00615,25.3,2.08,Express,Carro,Baixo,Chuva Leve,Tarde,Seg-Qui,4,2,No,No,Urbana,,4.9,10.23
DEL00235,32.72,7.3,Standard,Carro,Médio,Ensolarado,Madrugada,Seg-Qui,9,4,No,Yes,Rural,3.68,6.65,18.49
DEL00277,9.1,7.16,Standard,Van,Alto,Ensolarado,Manhã,Sexta,10,1,No,No,Suburbana,2.76,5.91,18.91
DEL01446,10.74,-0.79,Economy,Carro,,Ensolarado,Tarde,Seg-Qui,5,1,No,Yes,Urbana,3.83,5.68,25.34
DEL01276,9.39,1.93,Standard,Carro,Alto,Ensolarado,Noite,Seg-Qui,3,6,No,Yes,Rural,2.97,5.98,21.57
DEL00493,7.5,5.56,Economy,Moto,Médio,Nublado,Tarde,Sábado,9,3,Yes,Yes,Urbana,3.56,5.7,16.99
DEL00152,16.37,4.82,Standard,Carro,Alto,Ensolarado,Manhã,Seg-Qui,,1,no,No,Suburbana,3.2,5.71,18.51
DEL01123,26.42,2.19,standard,Carro,Médio,Chuva Leve,Madrugada,Sexta,3,1,Yes,No,Urbana,,5.07,10.19
DEL00918,5.14,4.26,Express,Van,Médio,Ensolarado,Tarde,Seg-Qui,6,4,No,Yes,Rural,2.88,4.89,14.9
DEL00752,4.07,9.95,Standard,Carro,Médio,Chuva Leve,Manhã,Seg-Qui,1,2,No,Yes,Suburbana,2.69,5.01,17.85
DEL00272,,9.1,Standard,Caminhão,Baixo,Ensolarado,Noite,Sexta,5,4,Yes,Yes,Urbana,2.84,5.03,19.62
DEL00641,19.21,70.14,Economy,Carro,Congestionado,Nublado,Manhã,Seg-Qui,4,4,No,Yes,Urbana,3.32,5.64,43.17
DEL02505,22.28,1.66,Economy,Carro,Médio,Ensolarado,Tarde,Sábado,4,3,No,No,Urbana,2.44,5.36,29.14
DEL02085,0.9,1.71,Express,Carro,Baixo,Nublado,Noite,Seg-Qui,5,6,Yes,No,Suburbana,3.15,5.9,5.92
DEL00064,6.78,5.64,Standard,Moto,,Ensolarado,Noite,Seg-Qui,9,4,Yes,Yes,Urbana,,6.13,6.02
DEL01538,17.89,,Economy,Carro,Alto,Nublado,Tarde,Seg-Qui,1,4,No,No,Urbana,3.05,5.7,36.78
DEL02277,9.14,3.44,Standard,Carro,,Chuva Leve,Tarde,Sexta,0.5,3,Yes,No,Urbana,2.49,5.92,30.35
