sale_id,marketing_spend,website_traffic,conversion_rate,avg_product_rating,discount_percentage,num_products,avg_price,customer_reviews,return_rate,product_category,competition_level,seasonality,free_shipping,payment_methods,mobile_traffic_pct,monthly_sales
SALE00022,5736.77,15473,5.05,2.34,25,90,129.97,795,10.48,Fashion,Medium,Low,No,Credit Card,64.76,8302.85
SALE00633,6553.71,16501,7.33,3.58,10,37,118.24,956,,Fashion,Medium,Medium,Yes,PayPal,69.99,8460.42
SALE01551,,12624,5.82,2.56,15,499,97.37,635,,Home,Medium,High,Yes,PayPal,79.56,7493.05
SALE00391,7141.07,21362,4.82,2.9,20,128,64.31,794,11.13,Home,Medium,Low,Yes,Bank Transfer,82.55,8258.81
SALE00375,1232.5,17901,4.01,3.66,0,429,161.47,933,10.17,  Fashion ,Medium,High,No,Credit Card,66.19,6151.35
SALE00680,3160.54,20923,5.12,3.08,15,479,143.89,750,9.83,Home,Medium,Medium,No,Credit Card,60.87,7442.12
SALE02187,5963.0,16427,5.22,3.09,15,310,182.32,326,7.36,Books,Medium,Low,Yes,Credit Card,79.12,8427.92
SALE00010,1176.17,17276,6.29,3.21,10,229,5.28,51,11.34,Sports,Medium,Low,Yes,Debit Card,65.37,7237.02
SALE01091,3464.77,19888,6.59,2.82,15,212,11.39,833,9.09,Home,High,Medium,No,Bank Transfer,73.41,7436.3
SALE01884,8317.39,14561,5.16,2.8,15,193,41.44,,10.6,Fashion,High,Medium,No,Bank Transfer,68.31,7439.08
SALE02163,4632.23,15562,5.63,2.95,20,281,140.08,677,10.22,Fashion,Low,Medium,Yes,PayPal,58.07,8947.42
SALE02440,1459.94,20103,4.49,3.34,0,406,228.19,732,10.8,Books,High,High,No,Credit Card,72.96,6067.55
SALE00669,7659.55,15751,5.39,2.78,10,34,209.05,696,5.61,Fashion,High,Low,No,Debit Card,75.58,7849.33
SALE01604,1692.68,16912,5.99,2.81,30,33,180.51,498,8.32,Electronics,Medium,Medium,No,Credit Card,73.3,8645.93
SALE02483,8110.72,15260,5.92,2.39,10,280,230.18,,8.91,Sports,High,Medium,No,Credit Card,77.52,7821.62
SALE01355,4946.64,20890,5.47,2.29,0,455,210.33,416,9.51,Home,High,Medium,No,Bank Transfer,49.64,7519.71
SALE00105,3414.1,19507,6.33,3.36,10,244,169.28,549,6.96,Electronics,Low,Low,No,Credit Card,75.8,7851.23
SALE00880,5513.4,,6.86,2.58,0,57,98.22,267,9.56,Sports,High,Medium,Yes,Debit Card,78.02,7634.88
SALE01737,,,5.91,2.46,10,46,131.11,240,5.57,Fashion,Medium,Medium,No,Debit Card,63.71,7152.21
SALE02374,,16858,5.8,2.76,25,65,156.64,378,6.97,Electronics,Low,Low,  No ,Bank Transfer,62.23,8603.4
SALE00427,78532.5,18637,5.44,3.08,15,92,186.83,,8.31,Fashion,Medium,Low,Yes,Debit Card,66.61,8532.71
SALE02182,4449.85,14982,6.48,2.9,0,130,218.52,715,9.5,Electronics,Medium,Low,No,PayPal,74.91,7107.22
SALE02235,4773.49,11733,5.38,2.98,20,15,130.07,454,9.21,Electronics,Medium,High,No,Bank Transfer,64.71,7859.05
SALE00944,5133.94,15504,4.65,2.52,0,457,46.39,813,7.24,Fashion,Medium,Medium,Yes,Bank Transfer,71.32,7898.56
SALE00225,6205.36,22814,6.87,2.91,10,44,10.84,147,10.02,Fashion,Low,Low,Yes,Debit Card,63.05,8678.23
SALE00354,6083.9,21402,5.62,3.68,15,318,78.56,500,8.1,Books,Medium,Medium,Yes,Bank Transfer,72.44,7654.06
SALE00255,6122.02,16238,4.99,3.3,10,245,204.05,620,,Home,High,Medium,No,Bank Transfer,67.06,7898.37
SALE00554,6606.56,14080,6.17,2.45,10,78,67.47,693,7.1,Electronics,Medium,Medium,Yes,Debit Card,69.12,7766.97
SALE01363,4983.8,14330,4.72,3.52,0,22,191.98,836,,Sports,Low,Medium,No,Credit Card,63.13,7741.38
SALE01395,1760.93,16616,6.09,3.3,25,56,56.3,291,10.86,Home,Low,High,No,Bank Transfer,61.67,9113.73
SALE02081,3134.35,12081,6.46,3.07,10,461,353.46,479,7.58,Fashion,High,Medium,Yes,Credit Card,55.35,6822.04
SALE00788,,14392,4.8,3.8,5,171,85.33,,8.88,Electronics,High,High,No,Debit Card,71.03,6953.82
SALE01267,2106.94,7195,3.86,,10,168,33.76,246,13.77,Home,High,High,No,PayPal,70.88,7288.08
SALE02132,4601.52,17838,7.23,,5,388,216.67,707,8.24,Sports,LOW,Low,No,Credit Card,66.35,7600.82
SALE00623,79343.5,12835,7.42,3.02,30,229,247.1,778,8.98,Home,Medium,Low,Yes,Debit Card,61.8,9507.1
SALE01183,5690.81,,7.17,3.18,10,426,263.32,386,7.55,Home,Medium,Medium,No,Credit Card,70.61,8396.23
SALE01489,2154.04,11154,7.35,2.72,10,172,125.2,117,7.67,Fashion,Medium,Medium,Yes,Credit Card,65.1,7406.1
SALE00222,1077.34,5266,,2.84,15,145,226.73,26,8.36,Electronics,Medium,Low,Yes,Bank Transfer,70.06,7456.52
SALE00909,5840.19,20963,6.16,3.15,15,292,14.89,,8.89,Fashion,Medium,Low,No,Credit Card,71.54,7658.84
SALE00871,4642.14,23253,5.54,3.02,10,102,136.19,531,9.24,Fashion,Medium,Low,No,CREDIT CARD,68.38,7642.57
SALE00285,7599.28,16388,5.5,2.63,30,280,35.43,82,10.24,Books,Medium,High,Yes,Credit Card,81.09,8118.14
SALE02031,5377.69,16083,4.65,2.87,15,454,184.87,131,4.99,Electronics,High,High,Yes,PayPal,68.08,8478.58
SALE00151,5400.67,16545,4.41,,10,427,228.2,792,8.84,Home,High,Low,Yes,Debit Card,79.98,6804.45
SALE00572,1452.63,16220,5.2,2.38,30,347,170.41,279,9.53,Home,Low,Low,No,PayPal,72.03,7781.44
SALE00178,,24243,4.88,2.72,10,300,193.56,575,8.58,Books,Medium,High,No,Bank Transfer,61.02,7138.75
SALE00470,1100.04,11281,4.97,2.99,15,160,74.8,,7.38,Electronics,High,Medium,Yes,PayPal,73.32,7301.49
SALE02333,6430.31,18630,6.78,4.23,5,24,161.17,761,11.95,Fashion,High,Medium,No,Debit Card,63.43,7906.99
SALE01482,7268.62,20582,,2.69,15,152,79.79,465,11.87,Electronics,Medium,Medium,No,Bank Transfer,52.72,8494.51
SALE02499,5709.58,16673,5.7,1.79,10,20,243.9,456,9.2,Home,Medium,High,Yes,Credit Card,69.4,7775.76
SALE01769,8087.48,9380,5.55,4.04,0,105,161.03,164,6.35,Fashion,Low,Low,Yes,PayPal,62.9,7633.78
