house_id,house_area_sqm,num_residents,num_appliances,air_conditioning,heating_system,energy_efficiency_rating,avg_temperature,home_office_hours,has_pool,solar_panels,house_age_years,insulation_quality,num_rooms,electric_car,smart_thermostat,monthly_consumption_kwh
HOUSE02311,195.78,5,26,2,Electric,C,40.0,8,No,Yes,4,Good,4,No,Yes,595.84
HOUSE01565,109.37,4,13,None,None,B,8.68,0,No,No,33,Average,5,No,yes,328.93
HOUSE02471,158.97,1,7,2,Gas,C,21.72,0,No,No,,Good,8,No,Yes,308.77
HOUSE02286,155.23,3,6,3+,Gas,B,10.66,8,No,No,5,Good,6,No,No,392.4
HOUSE00978,,4,8,1,Gas,E,25.83,0,Yes,No,6,Poor,8,No,Yes,485.11
HOUSE02420,197.79,3,25,1,Gas,C,34.72,0,No,No,28,Poor,6,No,No,403.86
HOUSE00818,212.42,4,5,2,None,C,,8,No,No,22,poor,6,No,No,429.18
HOUSE00890,144.26,2,,2,Gas,A,18.91,0,No,No,30,Poor,4,No,No,371.76
HOUSE01365,130.86,3,,2,None,B,17.48,8,No,No,19,,3,No,No,315.69
HOUSE02132,182.03,3,7,1,Electric,C,24.08,0,No,No,25,Average,3,No,No,396.74
HOUSE02474,112.44,1,20,1,Electric,C,24.82,8,No,Yes,37,Average,7,No,Yes,300.7
HOUSE02486,86.4,4,,1,Gas,B,22.1,8,Yes,No,0,Good,5,No,No,450.54
HOUSE01497,195.35,5,25,2,Gas,A,30.2,,No,Yes,24,Good,2,No,No,435.77
HOUSE01482,182.18,3,14,2,None,D,20.68,0,No,No,7,Good,6,No,no,358.99
HOUSE00619,223.47,3,29,1,Gas,A,26.85,,No,Yes,12,Poor,2,Yes,No,302.29
HOUSE00934,159.21,2,20,3+,Electric,D,10.35,0,No,No,36,Good,5,No,No,527.35
HOUSE00522,61.57,5,10,None,Electric,B,17.75,0,No,No,2,Good,8,No,No,430.19
HOUSE00676,124.59,4,20,None,Electric,D,32.21,0,No,No,48,Average,1,Yes,No,476.69
HOUSE00308,,4,22,1,Electric,C,31.94,8,No,No,,,5,No,No,541.71
HOUSE00094,273.92,3,24,1,None,C,19.32,0,No,Yes,40,Average,6,No,No,341.51
HOUSE02302,155.53,3,18,None,None,B,21.09,4,Yes,No,34,Poor,3,No,No,354.5
HOUSE00954,189.71,5,11,1,Solar,C,12.27,0,No,No,26,Average,4,No,No,437.26
HOUSE00573,189.77,5,21,2,None,C,24.2,8,No,No,47,Average,2,No,No,487.56
HOUSE01437,153.45,4,10,2,solar,B,,0,Yes,No,0,Average,1,No,Yes,439.02
HOUSE00778,75.7,3,20,2,None,C,,0,Yes,No,31,Average,3,Yes,Yes,455.67
HOUSE01596,,2,13,None,None,B,14.85,,No,No,12,Average,1,No,Yes,232.1
HOUSE00001,253.67,3,,None,None,C,,0,No,Yes,21,Average,6,No,No,290.98
HOUSE01228,117.77,2,13,2,Gas,B,27.0,0,No,Yes,32,Average,8,No,Yes,297.22
HOUSE00793,240.02,4,17,None,Electric,D,24.27,,No,No,,Average,3,No,No,487.77
HOUSE01694,84.12,2,21,2,None,B,25.61,0,No,No,15,Poor,5,Yes,No,352.03
HOUSE01636,120.7,3,10,None,Gas,B,20.39,4,Yes,No,50,Good,4,No,No,306.99
HOUSE00463,98.6,2,12,None,Gas,A,16.78,8,No,Yes,42,Good,6,No,No,231.01
HOUSE02427,140.23,2,10,None,Electric,D,26.19,,No,Yes,42,Average,4,No,Yes,270.35
HOUSE02389,,3,24,1,Electric,C,29.93,0,No,No,46,,4,Yes,No,424.42
HOUSE02231,228.77,4,26,2,Solar,C,31.94,0,No,No,18,Average,8,No,No,517.43
HOUSE01061,235.23,5,,None,Gas,B,27.02,4,No,Yes,40,Poor,1,No,No,267.86
HOUSE01740,156.27,1,12,1,None,C,27.65,0,No,Yes,8,Average,3,No,Yes,210.42
HOUSE00668,132.37,3,13,None,None,D,24.2,0,Yes,No,24,,6,No,Yes,353.13
HOUSE00488,139.51,1,28,1,Solar,D,,0,No,No,,Good,5,No,No,358.2
HOUSE00943,115.18,2,15,3+,Gas,B,20.59,8,  No ,No,,Average,7,No,Yes,369.44
HOUSE01258,,1,7,None,Gas,C,13.3,0,No,No,26,Good,6,No,No,237.77
HOUSE00151,,2,29,2,Electric,C,39.47,8,No,No,26,,5,No,No,546.18
HOUSE02342,227.12,5,23,2,Electric,B,31.54,,No,No,6,Good,2,No,Yes,572.93
HOUSE00868,251.02,5,6,None,Gas,D,22.66,4,No,No,2,Good,8,No,Yes,391.26
HOUSE00811,86.75,5,27,1,Electric,C,28.44,0,Yes,no,48,Average,6,No,No,611.8
HOUSE02392,101.34,3,14,None,Solar,D,13.77,8,No,Yes,,,8,No,No,309.7
HOUSE01006,97.73,2,19,3+,Electric,B,,0,No,No,44,Poor,2,No,No,403.43
HOUSE01124,125.52,3,16,3+,Electric,D,22.39,,No,No,46,Good,2,No,Yes,504.53
HOUSE02475,138.98,15,22,None,Electric,C,,,No,No,29,Poor,7,No,No,490.25
HOUSE01033,157.63,1,17,2,Solar,A,,0,No,No,,Poor,4,No,No,327.86
HOUSE00526,205.14,5,25,None,Gas,B,13.37,4,No,No,,Average,7,No,No,482.35
HOUSE01135,193.48,3,18,3+,Gas,B,21.5,0,No,No,48,Average,6,No,No,484.45
HOUSE01490,,5,19,1,Electric,C,36.24,,Yes,Yes,,Poor,7,Yes,No,555.51
HOUSE01768,219.25,2,10,1,Gas,D,29.4,0,No,No,17,Average,4,No,No,395.08
HOUSE00013,161.37,2,24,2,None,D,14.04,,No,Yes,44,Poor,6,No,No,361.46
HOUSE00028,113.8,3,14,2,Gas,C,37.01,10,Yes,No,40,Good,3,No,Yes,540.72
HOUSE01190,174.1,1,,2,Solar,B,45.83,,No,No,5,Average,5,No,Yes,326.14
HOUSE02492,139.89,4,26,2,None,C,16.39,0,No,Yes,49,Average,7,No,yes,372.88
HOUSE01805,152.59,3,16,1,None,C,24.98,8,No,No,28,Good,4,No,No,364.46
HOUSE01040,228.75,4,9,1,Gas,A,18.35,4,No,No,1,Poor,2,No,No,372.73
HOUSE02217,,3,27,None,Gas,C,28.51,0,No,No,,Average,3,No,No,361.0
HOUSE02363,135.67,2,10,3+,Gas,B,,8,No,No,32,Good,2,No,No,356.23
HOUSE02451,143.9,4,,None,None,B,20.46,0,No,Yes,23,Poor,4,No,Yes,259.18
HOUSE02008,126.26,4,8,1,Gas,C,15.96,0,Yes,No,11,,5,Yes,No,425.86
HOUSE00439,210.23,3,29,1,Electric,C,27.67,0,No,No,7,Good,5,No,No,561.24
HOUSE01663,180.42,2,6,None,Gas,C,20.93,8,No,No,34,Poor,5,No,No,277.04
HOUSE00557,144.44,7,26,None,Electric,C,22.3,8,Yes,No,45,,4,Yes,No,707.33
HOUSE01494,170.77,1,11,2,Electric,c,14.58,0,No,No,12,Poor,1,No,No,425.25
HOUSE02438,159.58,3,6,2,None,A,22.6,4,No,No,1,,5,No,No,328.4
HOUSE01473,171.42,3,15,1,Electric,C,28.62,,No,No,8,Good,3,No,No,460.81
HOUSE01638,137.59,2,25,None,Gas,D,27.32,8,No,No,11,Average,4,No,No,426.89
HOUSE01116,39.37,5,25,3+,  Solar ,B,,4,No,No,25,Average,4,No,No,555.57
HOUSE02013,,2,15,2,Electric,  C ,13.0,,No,No,44,Poor,7,No,No,410.63
HOUSE00861,112.12,4,,2,Gas,B,15.75,0,No,No,,Poor,4,Yes,No,403.93
HOUSE00598,58.59,4,25,None,Electric,C,35.27,,No,Yes,1,Average,5,No,No,472.64
HOUSE00079,736.97,2,,1,Electric,D,17.18,10,No,No,17,,1,No,No,434.89
HOUSE00305,88.01,3,5,None,solar,A,15.91,8,No,No,40,Average,2,No,No,267.89
HOUSE00066,196.74,7,28,1,Gas,B,27.01,10,No,No,26,Average,8,No,no,565.77
HOUSE00421,135.5,5,27,None,None,B,,8,No,No,42,Good,6,No,No,463.48
HOUSE00748,229.0,4,25,2,Electric,C,19.83,,No,No,28,Average,3,Yes,Yes,549.34
HOUSE02338,95.5,2,26,1,None,E,42.63,,Yes,No,17,Average,1,No,No,452.51
HOUSE00351,163.07,4,17,3+,Gas,B,19.04,8,No,No,36,,2,No,No,488.57
HOUSE00935,168.04,3,21,1,Gas,D,22.12,8,No,Yes,40,Poor,1,No,Yes,397.41
HOUSE00031,200.04,1,30,1,None,B,20.44,0,No,No,19,,1,No,No,277.45
HOUSE02498,121.53,2,27,1,Gas,A,33.23,8,No,No,9,Good,7,  No ,No,456.74
HOUSE01210,113.7,4,5,None,Gas,B,26.82,4,Yes,No,31,Average,4,Yes,No,388.34
HOUSE01331,151.06,4,26,None,None,B,17.67,0,No,No,24,Poor,8,No,No,371.13
HOUSE01308,158.43,5,16,1,Solar,A,16.18,,No,No,12,,1,Yes,No,412.32
HOUSE01730,60.27,4,18,None,None,D,23.01,10,Yes,Yes,,Average,6,No,Yes,358.0
HOUSE00679,161.61,3,16,2,Solar,c,22.11,,No,No,7,Average,8,No,No,477.75
HOUSE01539,147.8,4,11,2,Electric,C,25.41,0,No,No,1,,5,Yes,No,474.83
HOUSE02216,144.09,3,16,None,Electric,C,29.77,,No,No,32,Poor,7,No,Yes,370.78
HOUSE00207,132.28,3,8,2,None,B,19.43,8,No,No,20,,2,No,No,336.22
HOUSE00006,155.01,3,10,None,Gas,C,,0,  No ,No,,Poor,5,No,No,303.62
HOUSE01786,167.45,2,29,2,None,A,20.22,4,No,No,9,Poor,3,No,Yes,404.63
HOUSE00324,184.56,3,29,None,Electric,D,12.83,8,No,No,37,Average,1,No,Yes,562.33
HOUSE01667,,1,23,None,Solar,  C ,14.49,0,No,No,46,Poor,3,No,Yes,356.92
HOUSE01426,94.48,4,18,None,Solar,d,15.84,8,No,No,22,Average,3,No,Yes,414.16
HOUSE01504,171.46,1,19,None,Gas,C,22.21,,No,No,37,Poor,8,No,No,308.62
HOUSE00825,166.35,5,15,None,None,D,25.14,8,No,No,8,Average,3,No,No,429.47
HOUSE00187,206.1,5,17,1,  Gas ,D,18.31,4,No,No,11,Poor,7,No,No,497.02
HOUSE01884,,4,22,1,None,B,41.65,0,No,No,17,Good,3,Yes,No,443.03
HOUSE01431,90.92,3,12,3+,Electric,B,31.07,0,No,No,43,Average,4,No,No,461.22
HOUSE01900,207.0,2,24,1,None,C,22.88,4,No,No,40,Good,4,No,Yes,361.68
HOUSE01886,70.94,3,6,1,Solar,C,22.77,0,No,No,24,Poor,8,No,Yes,327.31
HOUSE00492,114.3,1,19,2,Gas,C,18.98,4,No,No,17,Poor,8,No,No,338.74
HOUSE02108,190.42,5,,None,Gas,C,31.15,0,No,Yes,11,Average,1,No,No,357.37
HOUSE01283,93.68,2,6,None,None,D,23.08,0,No,Yes,13,Poor,4,No,No,145.22
HOUSE01243,173.24,4,7,1,Gas,B,27.98,0,No,No,37,Average,4,No,Yes,339.43
HOUSE02212,237.99,4,,1,Gas,C,35.55,0,No,No,2,,5,No,No,497.29
HOUSE00566,173.01,4,18,1,Gas,A,17.14,4,No,No,35,Good,7,Yes,No,403.36
HOUSE00137,85.49,3,28,2,Gas,B,18.64,0,No,No,50,Good,5,No,no,463.96
HOUSE02028,91.22,3,20,2,Solar,C,12.69,8,No,Yes,6,Average,1,No,No,339.59
HOUSE02165,159.61,2,10,None,Electric,E,24.33,8,No,Yes,42,,1,Yes,No,323.52
HOUSE01909,142.47,3,11,1,Electric,D,33.77,0,Yes,No,21,Poor,5,No,No,486.5
HOUSE00630,,3,19,2,Electric,C,26.97,8,No,Yes,49,Poor,4,Yes,No,445.39
HOUSE01166,,2,10,1,None,B,15.29,4,No,No,40,Poor,2,No,No,260.21
HOUSE01735,179.95,2,13,1,None,C,23.09,0,No,No,27,Average,4,No,No,289.45
HOUSE01491,111.03,2,7,1,Gas,c,34.37,0,No,No,46,Good,3,No,Yes,315.24
HOUSE01448,,2,27,None,Electric,B,19.02,0,Yes,No,43,Average,8,No,Yes,465.99
HOUSE00753,144.39,4,17,1,Electric,B,,,Yes,Yes,15,Poor,8,No,Yes,487.51
HOUSE00773,,2,29,1,Solar,C,,8,No,No,11,,1,No,No,399.4
HOUSE01936,150.91,2,23,1,None,C,19.74,8,Yes,No,46,Average,7,No,No,430.85
HOUSE01737,229.26,3,14,2,None,E,30.58,,No,No,17,Average,3,No,No,465.42
HOUSE01561,226.36,5,5,1,Gas,B,27.1,10,Yes,No,39,Average,4,No,No,404.12
HOUSE02096,196.23,3,25,1,Solar,B,26.02,,No,No,21,Average,6,Yes,No,346.05
HOUSE02032,130.39,3,8,2,Electric,A,23.03,0,No,Yes,37,Average,7,No,Yes,278.25
HOUSE01052,229.91,4,7,2,Gas,B,29.22,0,No,No,22,Average,2,No,Yes,407.12
HOUSE02215,139.07,3,10,1,Gas,B,14.41,4,No,No,41,Poor,1,No,No,324.41
HOUSE01478,224.13,2,21,None,None,C,,0,Yes,No,40,Average,4,no,No,393.1
HOUSE02137,783.86,3,11,3+,None,C,28.57,4,No,No,24,Average,1,No,No,424.05
HOUSE02183,,1,28,None,Gas,C,23.83,4,No,No,40,Good,5,No,No,330.97
HOUSE01833,227.9,4,27,1,Electric,C,13.81,4,Yes,Yes,3,Average,8,No,No,563.95
HOUSE01769,154.74,4,6,1,Gas,C,18.6,0,No,No,,Average,5,No,No,398.99
HOUSE01100,192.66,2,13,1,Gas,A,26.74,8,No,No,34,Average,4,No,No,270.15
HOUSE00454,137.36,4,28,None,Gas,C,23.75,0,No,No,13,Average,2,No,No,459.46
HOUSE01452,129.11,3,13,1,Electric,B,19.55,0,Yes,No,49,Average,7,No,No,383.55
HOUSE02004,208.35,3,7,None,None,C,20.13,8,No,Yes,4,Good,4,No,Yes,196.65
HOUSE01742,195.77,3,23,1,None,D,16.78,0,no,Yes,24,Average,5,No,No,369.53
HOUSE01399,166.06,3,20,3+,None,C,18.64,8,Yes,No,13,Good,8,Yes,No,544.22
HOUSE02097,134.72,2,22,1,Electric,A,29.98,4,No,No,31,Average,2,Yes,Yes,416.87
HOUSE00968,222.69,2,11,2,Gas,B,7.98,4,No,No,22,Poor,6,No,No,395.2
HOUSE00724,158.53,1,27,None,Gas,B,34.13,,No,No,23,Good,3,No,No,326.03
HOUSE00040,29.3,7,9,1,None,B,12.72,8,No,No,47,Poor,4,No,No,526.77
HOUSE00126,214.41,3,17,2,Solar,C,25.58,4,No,No,25,Good,6,No,Yes,418.79
HOUSE01993,159.87,3,5,1,Gas,B,18.22,10,No,Yes,17,Good,7,No,Yes,260.22
HOUSE01475,197.62,2,11,None,Gas,A,,,No,Yes,32,average,4,No,No,165.64
HOUSE00971,132.4,3,7,2,Gas,C,25.82,4,No,No,19,Average,4,No,No,372.92
HOUSE00555,148.57,3,8,1,Gas,C,13.29,0,Yes,No,10,Good,1,No,Yes,386.2
HOUSE01696,169.46,1,17,2,Gas,C,32.24,0,No,No,,Average,7,No,No,361.16
HOUSE01089,85.77,3,10,None,None,D,16.12,4,No,No,22,Good,2,No,No,277.91
HOUSE02009,123.62,3,15,None,Gas,C,17.88,,No,No,12,Average,5,No,No,319.98
HOUSE01174,184.86,5,23,None,Electric,C,19.07,8,No,Yes,11,Good,2,No,No,459.76
HOUSE01655,99.19,1,24,None,Gas,A,28.11,0,No,No,,Average,2,No,No,241.09
HOUSE01609,206.53,4,19,1,Electric,D,12.85,,Yes,No,9,,2,No,No,502.4
HOUSE01067,,3,30,1,Electric,A,12.22,0,Yes,No,42,Poor,8,No,Yes,492.73
HOUSE01079,184.38,3,6,None,Gas,C,22.55,0,No,No,40,Average,5,No,No,295.39
HOUSE02321,174.67,3,24,1,None,B,22.87,4,No,No,14,Average,2,No,No,399.54
HOUSE00078,102.55,4,24,1,Gas,D,18.09,8,No,No,36,,3,No,No,466.97
HOUSE01024,107.94,7,22,2,Gas,B,24.67,10,Yes,No,48,Average,3,No,No,642.11
HOUSE01962,120.33,5,27,None,Electric,D,28.03,4,No,No,13,Poor,2,Yes,No,579.2
HOUSE00622,189.81,2,27,1,Solar,C,-9.74,4,Yes,No,2,Average,1,No,No,469.17
HOUSE01038,188.03,3,15,2,None,C,19.86,0,No,No,23,Poor,8,Yes,No,386.83
HOUSE02128,178.2,1,30,None,Electric,C,11.87,0,No,No,50,Good,3,No,No,373.24
