property_id,built_area_sqm,bedrooms,bathrooms,parking_spaces,location,property_age_years,floor_number,view_type,condo_fee,infrastructure,has_security,has_pool,has_elevator,property_type,furnished,nearby_metro_km,price_brl
PROP00084,86.35,3,2,1,Subúrbio,7,10,None,634.94,Básica,No,Yes,Yes,Casa,No,1.35,695836.25
PROP00997,55.2,3,6,1,Zona Norte,3,11,None,904.42,Completa,Yes,No,Yes,Casa,No,3.34,873301.7
PROP00426,,2,3,2,Zona Oeste,15,8,City,446.98,Completa,No,No,NO,Casa,Yes,1.86,843696.64
PROP02411,164.74,1,2,1,Zona Leste,20,7,City,625.63,Premium,Yes,No,No,Apartamento,No,,985656.44
PROP00179,114.22,4,2,1,Subúrbio,25,19,City,194.77,Completa,Yes,Yes,Yes,Apartamento,No,2.29,1234570.44
PROP02039,94.03,3,1,1,Centro,33,3,None,686.82,Básica,Yes,No,No,Apartamento,No,,580581.17
PROP02303,76.16,2,1,1,Zona Norte,33,4,None,656.92,Premium,Yes,No,No,Apartamento,No,,719767.72
PROP02364,,3,1,3,Zona Oeste,17,0,None,415.85,Básica,No,No,No,Casa,No,2.39,590799.01
PROP00103,112.24,3,1,0,Subúrbio,33,2,,,Básica,Yes,No,Yes,Apartamento,No,1.77,651578.68
PROP00947,128.94,2,2,2,Subúrbio,48,14,None,1046.88,Básica,Yes,Yes,No,Apartamento,No,1.79,643784.99
PROP00863,76.18,3,1,2,Zona Norte,10,16,,35.27,Básica,Yes,No,Yes,Casa,No,,806962.16
PROP00686,117.27,3,1,3,Zona Leste,10,1,None,393.49,Básica,No,No,No,Casa,No,0.14,776543.9
PROP00034,116.36,3,1,1,Zona Leste,15,0,None,252.38,Completa,YES,No,No,Apartamento,Yes,0.81,838627.17
PROP01377,65.95,1,3,3,Centro,1,1,None,831.43,Completa,No,No,Yes,Apartamento,No,0.06,749385.95
PROP01180,109.72,3,2,3,Subúrbio,5,0,None,259.64,Completa,Yes,No,Yes,Apartamento,No,3.17,955163.28
PROP02377,169.6,2,1,2,Zona Norte,34,19,None,601.72,Completa,Yes,Yes,Yes,Apartamento,Yes,4.78,1034819.68
PROP01111,142.47,6,1,1,Zona Norte,43,0,None,789.33,Completa,Yes,No,No,Apartamento,No,1.98,958299.12
PROP01188,30.94,2,2,1,Subúrbio,10,1,None,37.97,Completa,Yes,No,Yes,Apartamento,No,0.62,549242.26
PROP02452,90.06,4,3,1,Zona Oeste,40,20,,104.74,,Yes,Yes,Yes,Apartamento,No,0.27,1274528.16
PROP00982,118.49,2,2,3,Zona Norte,28,0,None,264.78,,No,Yes,Yes,Casa,No,1.86,961167.16
PROP01218,97.63,3,2,2,Centro,9,,City,192.7,Premium,Yes,Yes,No,Casa,Yes,0.2,1187812.4
PROP02048,107.59,1,4,2,Zona Sul,20,5,None,584.52,Premium,No,Yes,Yes,Apartamento,No,2.1,1022179.43
PROP01638,,2,2,2,Zona Oeste,40,0,City,95.66,Completa,Yes,No,Yes,Casa,No,3.13,826582.2
PROP00229,154.07,3,2,1,Zona Leste,2,0,None,694.68,Básica,Yes,No,No,Apartamento,No,2.98,961804.73
PROP00586,103.47,1,2,1,Zona Sul,25,19,None,568.17,Básica,Yes,Yes,  Yes ,Apartamento,Yes,1.97,831455.84
PROP02144,145.07,3,3,2,Zona Norte,5,0,Park,663.09,Básica,Yes,No,No,Apartamento,No,1.01,915325.58
PROP01453,102.76,1,1,2,Zona Norte,2,4,None,298.6,Básica,No,No,No,Apartamento,No,1.39,626908.87
PROP01952,99.35,4,2,2,Subúrbio,27,8,None,360.47,Básica,Yes,No,Yes,Apartamento,No,2.83,848725.05
PROP01417,23.69,2,2,3,Zona Sul,17,0,City,336.51,Completa,No,Yes,No,Apartamento,No,3.19,999816.03
PROP00736,134.82,1,3,2,Zona Sul,27,11,City,289.61,Completa,Yes,No,No,Apartamento,No,1.89,1140171.77
PROP00270,85.58,2,1,2,Centro,28,8,None,511.07,Completa,Yes,Yes,Yes,Apartamento,No,2.72,819606.47
PROP00783,,3,3,1,Zona Norte,3,2,Park,185.99,Básica,Yes,No,Yes,Apartamento,No,1.15,1014661.67
PROP02486,60.23,1,2,2,Zona Sul,12,19,City,214.17,Básica,Yes,No,No,Casa,No,2.17,824714.74
PROP00842,183.41,1,2,1,Subúrbio,3,4,City,293.78,Básica,Yes,No,Yes,Casa,Yes,2.93,831872.53
PROP01379,173.68,2,1,2,Zona Oeste,3,1,,379.44,Básica,No,Yes,Yes,Casa,No,0.85,965872.32
PROP00213,95.94,1,2,2,Zona Leste,33,13,None,747.31,Básica,Yes,Yes,Yes,Apartamento,No,1.2,634427.61
PROP00597,69.63,1,2,1,Zona Norte,7,7,None,244.7,Completa,Yes,No,No,Apartamento,Yes,,612058.6
PROP00578,118.14,4,2,1,Zona Leste,23,4,None,932.54,Completa,No,No,No,Apartamento,No,2.1,834328.25
PROP01578,47.95,4,3,3,Zona Norte,17,0,City,590.62,Básica,No,No,No,Apartamento,No,3.92,745421.13
PROP00135,114.22,4,2,0,Zona Leste,4,0,  None ,41.33,Completa,No,Yes,Yes,Apartamento,Yes,3.5,1022271.24
PROP02213,54.58,2,3,2,Zona Sul,34,18,None,1055.75,Premium,Yes,No,Yes,Apartamento,No,0.49,787798.97
PROP01861,156.75,3,3,2,Zona Norte,1,3,,576.82,Completa,No,No,No,Apartamento,No,,934712.36
PROP01743,116.04,3,1,2,Zona Norte,4,10,None,462.87,Básica,Yes,Yes,No,Apartamento,Yes,2.57,942511.05
PROP00700,101.18,2,1,1,Zona Oeste,27,13,Park,185.93,,No,Yes,No,Casa,Yes,5.97,875958.19
PROP00833,,4,2,2,Zona Norte,23,0,Park,23.0,Básica,No,No,No,Apartamento,No,3.3,959391.91
PROP00755,145.33,1,3,1,Centro,11,0,None,51.65,Premium,No,No,No,Casa,No,1.89,1039938.87
PROP00473,84.89,3,3,3,Subúrbio,31,13,None,159.77,Completa,Yes,Yes,No,Casa,No,2.71,1038723.97
PROP00173,106.13,3,2,5,Zona Sul,9,19,None,536.79,Básica,Yes,No,Yes,Casa,Yes,0.55,1050201.59
PROP01016,86.9,2,4,1,Subúrbio,33,1,None,601.93,,No,No,No,Apartamento,No,4.08,700693.48
PROP00411,131.04,2,3,1,Subúrbio,50,,None,75.13,Básica,No,No,No,Casa,No,0.03,876312.4
PROP01958,45.71,3,2,0,Zona Norte,6,1,Park,319.64,Premium,Yes,Yes,Yes,Apartamento,No,3.27,910158.58
PROP00992,59.13,3,2,2,Subúrbio,42,10,City,776.18,Básica,Yes,Yes,No,Apartamento,No,1.64,736567.85
PROP00451,23.43,4,2,1,Subúrbio,49,0,City,425.33,Básica,No,Yes,  Yes ,Apartamento,Yes,5.26,577749.92
PROP02324,97.62,4,4,2,Zona Sul,1,1,None,541.78,Completa,No,No,Yes,Apartamento,No,1.1,1098638.56
